data,1 USD,1 EUR,1 GBP
20231229,3.935,4.348,4.9997
20240102,3.9432,4.3434,5.0152
20240103,3.9909,4.3646,5.0397
20240104,3.9684,4.3525,5.0481
20240105,3.985,4.3484,5.044
20240108,3.9812,4.3548,5.0543
20240109,3.9612,4.3351,5.0446
20240110,3.9656,4.3413,5.0466
20240111,3.968,4.3505,5.0549
20240112,3.9746,4.3574,5.0688
20240115,3.9963,4.3748,5.0861
20240116,4.0358,4.3934,5.1027
20240117,4.0434,4.3978,5.1274
20240118,4.0437,4.4016,5.1253
20240119,4.0289,4.3846,5.1103
20240122,3.9972,4.356,5.0784
20240123,4.0133,4.3697,5.1084
20240124,4.0131,4.3755,5.1223
20240125,4.0189,4.379,5.1148
20240126,4.0393,4.3802,5.1357
20240129,4.0326,4.3653,5.123
20240130,4.0301,4.3634,5.1106
20240131,4.0135,4.3434,5.0848
20240201,4.0047,4.3247,5.0688
20240202,3.9641,4.3173,5.0572
20240205,4.0244,4.3278,5.0712
20240206,4.0484,4.3435,5.0777
20240207,4.0362,4.3466,5.099
20240208,4.0292,4.3449,5.0892
20240209,4.0096,4.3167,5.0559
20240212,4.0189,4.328,5.0721
20240213,4.0136,4.3214,5.0786
20240214,4.0593,4.3435,5.0902
20240215,4.0495,4.3463,5.084
20240216,4.0325,4.3414,5.0753
20240219,4.0269,4.339,5.0796
20240220,3.9994,4.3186,5.0407
20240221,3.9966,4.3163,5.0406
20240222,3.9804,4.3199,5.0454
20240223,4.005,4.3326,5.0691
20240226,3.9776,4.3117,5.0435
20240227,3.9682,4.3067,5.0353
20240228,3.9922,4.3116,5.0404
20240229,3.9803,4.319,5.042
20240301,3.9922,4.3176,5.0413
20240304,3.982,4.3201,5.048
20240305,3.9838,4.3228,5.0535
20240306,3.963,4.3106,5.0452
20240307,3.9485,4.3045,5.0336
20240308,3.9392,4.3079,5.0536
20240311,3.9262,4.2933,5.0423
20240312,3.9162,4.2804,5.0084
20240313,3.9269,4.2896,5.0171
20240314,3.9183,4.287,5.0214
20240315,3.9392,4.2929,5.0233
20240318,3.9528,4.3086,5.0343
20240319,3.9866,4.3201,5.0516
20240320,3.9895,4.3242,5.0635
20240321,3.9431,4.3031,5.0367
20240322,3.9928,4.3186,5.0257
20240325,3.9833,4.3091,5.0246
20240326,3.9704,4.3093,5.0243
20240327,3.9857,4.3153,5.0327
20240328,4.0081,4.3191,5.0474
20240329,3.9886,4.3009,5.03
20240402,4.0009,4.2934,5.0256
20240403,3.9843,4.2923,5.0117
20240404,3.9515,4.2921,5.0042
20240405,3.9571,4.2883,5.0003
20240408,3.9546,4.2805,4.9915
20240409,3.9223,4.2588,4.966
20240410,3.9264,4.2641,4.9843
20240411,3.9707,4.2649,4.9835
20240412,3.9983,4.2666,5.0007
20240415,4.0209,4.2851,5.0192
20240416,4.0687,4.3197,5.0609
20240417,4.0741,4.3353,5.0812
20240418,4.0559,4.3309,5.0589
20240419,4.0688,4.3316,5.0615
20240422,4.054,4.3203,5.0131
20240423,4.061,4.3335,5.0238
20240424,4.0417,4.3177,5.022
20240425,4.0276,4.3198,5.0427
20240426,4.0245,4.3225,5.0414
20240429,4.0346,4.319,5.0509
20240430,4.0341,4.3213,5.0598
20240502,4.0474,4.3323,5.067
20240506,4.0202,4.3294,5.0583
20240507,4.0056,4.3116,5.0228
20240508,4.0202,4.3195,5.0157
20240509,4.0076,4.2993,4.9986
20240510,3.9866,4.2979,4.9961
20240513,3.9853,4.2977,4.9947
20240514,3.9701,4.2812,4.9741
20240515,3.9368,4.2635,4.9651
20240516,3.9195,4.2617,4.9679
20240517,3.9363,4.2685,4.979
20240520,3.9149,4.2575,4.9743
20240521,3.9175,4.2572,4.9798
20240522,3.9243,4.2575,4.995
20240523,3.9394,4.2699,5.0113
20240524,3.9376,4.2624,5.0022
20240527,3.9196,4.2528,4.9951
20240528,3.9183,4.2592,5.0032
20240529,3.9244,4.2529,5.0055
20240531,3.9389,4.2678,5.0056
20240603,3.9501,4.2817,5.0181
20240604,3.9448,4.2923,5.0403
20240605,3.9607,4.3081,5.0606
20240606,3.953,4.2997,5.0543
20240607,3.9389,4.2891,5.0371
20240610,4.0159,4.3197,5.1033
20240611,4.0443,4.3456,5.1464
20240612,4.0342,4.3354,5.1465
20240613,4.0119,4.3355,5.135
20240614,4.076,4.3581,5.1857
20240617,4.0728,4.3608,5.1616
20240618,4.0549,4.3468,5.1423
20240619,4.0387,4.3376,5.1421
20240620,4.0345,4.3238,5.1224
20240621,4.0527,4.3331,5.1291
20240624,4.0319,4.3198,5.1037
20240625,3.9975,4.2909,5.0774
20240626,4.0291,4.3087,5.1027
20240627,4.0312,4.3085,5.0934
20240628,4.032,4.313,5.0942
20240701,3.9915,4.2981,5.0587
20240702,4.0375,4.3286,5.0988
20240703,3.999,4.3021,5.0768
20240704,3.9784,4.2975,5.075
20240705,3.9581,4.2858,5.0582
20240708,3.947,4.278,5.06
20240709,3.9391,4.2633,5.0444
20240710,3.9324,4.2529,5.0318
20240711,3.9257,4.2586,5.0547
20240712,3.9099,4.2567,5.0621
20240715,3.896,4.2499,5.0603
20240716,3.9083,4.2604,5.0668
20240717,3.921,4.2904,5.1088
20240718,3.9296,4.2954,5.1032
20240719,3.9461,4.293,5.0974
20240722,3.9307,4.2797,5.0813
20240723,3.9355,4.281,5.0861
20240724,3.9498,4.2796,5.0939
20240725,3.9619,4.2971,5.1053
20240726,3.9415,4.2773,5.0709
20240729,3.9556,4.2847,5.0683
20240730,3.9567,4.2845,5.0882
20240731,3.9689,4.2953,5.0922
20240801,3.9802,4.2924,5.0867
20240802,3.9672,4.2903,5.0525
20240805,3.9331,4.3073,5.0196
20240806,3.9467,4.313,5.0253
20240807,3.9526,4.3158,5.0204
20240808,3.952,4.3225,5.0195
20240809,3.9604,4.3238,5.0556
20240812,3.9488,4.3123,5.0404
20240813,3.9314,4.2945,5.0319
20240814,3.8963,4.2933,5.0036
20240816,3.8914,4.2732,5.014
20240819,3.8682,4.2693,5.0177
20240820,3.8506,4.2665,5.0062
20240821,3.8565,4.2879,5.0183
20240822,3.8456,4.285,5.0427
20240823,3.8453,4.2769,5.0486
20240826,3.8284,4.2803,5.0526
20240827,3.8331,4.2802,5.0662
20240828,3.8539,4.2938,5.0986
20240829,3.867,4.2862,5.0993
20240830,3.8644,4.2798,5.0947
20240902,3.8684,4.2812,5.0806
20240903,3.8701,4.2757,5.0777
20240904,3.8738,4.2815,5.0828
